67, 0 1 0.21966 -0.413721 1.930803 0.08884 -0.309703 2.057796 -0.028634 -0.135734 1.936253;
68, 0 1 0.22048 -0.417608 1.931702 0.090218 -0.310641 2.056649 -0.02874 -0.13554 1.936164;
69, 0 1 0.223257 -0.423885 1.931636 0.090885 -0.3223 2.058894 -0.028755 -0.135526 1.93613;
70, 0 1 0.217833 -0.417533 1.936046 0.080796 -0.325304 2.065651 -0.028796 -0.135514 1.936153;
71, 0 1 0.21296 -0.412911 1.938732 0.075944 -0.323572 2.070485 -0.02887 -0.135372 1.936196;
72, 0 1 0.211125 -0.409393 1.937781 0.07419 -0.324272 2.072555 -0.028907 -0.135165 1.936179;
73, 0 1 0.210456 -0.406914 1.937246 0.071762 -0.328097 2.074212 -0.028944 -0.135069 1.936168;
74, 0 1 0.207998 -0.405231 1.939536 0.068901 -0.326595 2.076189 -0.029023 -0.134935 1.936154;
75, 0 1 0.2083 -0.407164 1.940043 0.069295 -0.326758 2.075684 -0.029036 -0.134943 1.93615;
76, 0 1 0.208326 -0.411241 1.940397 0.070778 -0.326601 2.074841 -0.029103 -0.134987 1.936036;
77, 0 1 0.20959 -0.412116 1.938741 0.072325 -0.327257 2.073339 -0.029191 -0.134934 1.935922;
78, 0 1 0.206687 -0.4065 1.939177 0.069808 -0.325417 2.076664 -0.029203 -0.134913 1.935948;
79, 0 1 0.207015 -0.401421 1.937274 0.069218 -0.325597 2.076983 -0.029253 -0.134849 1.936132;
80, 0 1 0.207074 -0.401128 1.937302 0.068984 -0.325647 2.076896 -0.0293 -0.134872 1.936206;
81, 0 1 0.198666 -0.397219 1.945264 0.065153 -0.325957 2.091751 -0.029379 -0.134903 1.936195;
82, 0 1 0.202701 -0.408212 1.946788 0.071517 -0.309315 2.077538 -0.029494 -0.134885 1.936229;
83, 0 1 0.213822 -0.419545 1.938444 0.08597 -0.310632 2.064009 -0.029637 -0.134833 1.936327;
84, 0 1 0.214843 -0.419542 1.937318 0.086783 -0.310504 2.062537 -0.029865 -0.13476 1.936367;
85, 0 1 0.213243 -0.414084 1.937836 0.078512 -0.321847 2.069867 -0.030082 -0.134622 1.936479;
86, 0 1 0.213033 -0.412573 1.938089 0.076518 -0.324338 2.071093 -0.030206 -0.134596 1.936555;
87, 0 1 0.211014 -0.410952 1.940209 0.073658 -0.324285 2.0734 -0.030603 -0.134412 1.93668;
88, 0 1 0.209673 -0.410783 1.942362 0.071708 -0.324439 2.075118 -0.03079 -0.134359 1.936832;
89, 0 1 0.207067 -0.411916 1.945723 0.071679 -0.317129 2.075039 -0.030993 -0.134405 1.936974;
90, 0 1 0.207521 -0.412215 1.945356 0.071453 -0.320271 2.07607 -0.031377 -0.134404 1.937053;
91, 0 1 0.215543 -0.417601 1.937263 0.082271 -0.315777 2.063063 -0.0316 -0.134452 1.937273;
92, 0 1 0.214283 -0.410507 1.935645 0.073216 -0.330143 2.068882 -0.0317 -0.134377 1.937437;
93, 0 1 0.228092 -0.416952 1.922649 0.087008 -0.342893 2.059646 -0.031734 -0.134355 1.937488;
94, 0 1 0.223873 -0.418822 1.926422 0.088855 -0.327519 2.058695 -0.031794 -0.13433 1.937502;
95, 0 1 0.223515 -0.424652 1.929197 0.091004 -0.32476 2.057424 -0.03182 -0.134336 1.937447;
96, 0 1 0.222872 -0.430245 1.931741 0.092613 -0.324309 2.057155 -0.031816 -0.134387 1.937429;
97, 0 1 0.213448 -0.420659 1.93948 0.078117 -0.327492 2.070012 -0.031924 -0.134298 1.937268;
98, 0 1 0.211237 -0.415916 1.939811 0.075037 -0.327517 2.072938 -0.031973 -0.134256 1.93729;
99, 0 1 0.211989 -0.41715 1.939052 0.078733 -0.318825 2.067821 -0.031982 -0.134243 1.937283;
100, 0 1 0.207964 -0.413556 1.943357 0.071358 -0.324333 2.075465 -0.032004 -0.134232 1.93724;
101, 0 1 0.208177 -0.414383 1.944378 0.070979 -0.325233 2.075885 -0.032027 -0.134215 1.937232;
102, 0 1 0.206497 -0.41489 1.946895 0.071587 -0.316804 2.074042 -0.032116 -0.134197 1.937105;
103, 0 1 0.20879 -0.416024 1.944832 0.07253 -0.323309 2.074714 -0.032152 -0.134224 1.937003;
104, 0 1 0.20678 -0.413452 1.946338 0.069274 -0.323957 2.077258 -0.032246 -0.13415 1.936793;
105, 0 1 0.195922 -0.403645 1.955408 0.061093 -0.32612 2.09973 -0.032244 -0.134083 1.936759;
106, 0 1 0.203972 -0.403691 1.946024 0.063302 -0.332628 2.085231 -0.032237 -0.134035 1.936764;
107, 0 1 0.204252 -0.403759 1.945896 0.063385 -0.33268 2.084883 -0.032236 -0.13395 1.937101;
108, 0 1 0.204034 -0.404901 1.947555 0.062967 -0.331463 2.085011 -0.032242 -0.133929 1.937742;
